condition,p_semantic,p_social,rep,period,repertoire_size,max_level,mean_score
random,0.0,0.0,3,29,11,5,89.5
random,0.0,0.0,3,30,11,5,88.6
random,0.0,0.0,3,31,10,4,83.7
random,0.0,0.0,3,32,10,4,79.8
random,0.0,0.0,3,33,10,4,80.7
random,0.0,0.0,3,34,10,4,82.8
random,0.0,0.0,3,35,10,4,74.1
random,0.0,0.0,3,36,10,4,64.2
random,0.0,0.0,3,37,10,4,63.6
random,0.0,0.0,3,38,8,3,54.9
random,0.0,0.0,3,39,8,3,58.8
random,0.0,0.0,3,40,8,3,60.0
random,0.0,0.0,3,41,8,3,61.8
random,0.0,0.0,3,42,8,3,64.5
random,0.0,0.0,3,43,8,3,69.3
random,0.0,0.0,3,44,8,3,72.9
random,0.0,0.0,3,45,8,3,74.7
random,0.0,0.0,3,46,8,3,77.4
random,0.0,0.0,3,47,8,3,78.9
random,0.0,0.0,3,48,9,4,82.8
random,0.0,0.0,3,49,9,4,81.9
random,0.0,0.0,3,50,9,4,84.0
random,0.0,0.0,3,51,9,4,81.6
random,0.0,0.0,3,52,9,4,82.2
random,0.0,0.0,3,53,10,4,85.2
random,0.0,0.0,3,54,10,4,85.8
random,0.0,0.0,3,55,11,5,93.4
random,0.0,0.0,3,56,11,5,103.4
random,0.0,0.0,3,57,11,5,106.1
random,0.0,0.0,3,58,11,5,113.1
random,0.0,0.0,3,59,11,5,113.1
random,0.0,0.0,3,60,11,5,112.2
random,0.0,0.0,3,61,12,5,111.0
random,0.0,0.0,3,62,12,5,98.0
random,0.0,0.0,3,63,12,5,96.8
random,0.0,0.0,3,64,12,5,87.7
random,0.0,0.0,3,65,13,5,89.0
random,0.0,0.0,3,66,14,6,97.5
random,0.0,0.0,3,67,13,6,101.5
random,0.0,0.0,3,68,13,6,97.3
random,0.0,0.0,3,69,13,6,98.8
random,0.0,0.0,3,70,13,6,96.7
random,0.0,0.0,3,71,13,6,92.8
random,0.0,0.0,3,72,13,6,96.4
random,0.0,0.0,3,73,13,6,94.1
random,0.0,0.0,3,74,12,5,78.3
random,0.0,0.0,3,75,12,5,79.2
random,0.0,0.0,3,76,12,5,81.7
random,0.0,0.0,3,77,12,5,81.7
random,0.0,0.0,3,78,12,5,83.5
random,0.0,0.0,3,79,11,5,75.5
random,0.0,0.0,3,80,11,5,76.1
random,0.0,0.0,3,81,11,5,77.3
random,0.0,0.0,3,82,11,5,79.1
random,0.0,0.0,3,83,11,5,80.6
random,0.0,0.0,3,84,11,5,73.9
random,0.0,0.0,3,85,11,5,76.9
random,0.0,0.0,3,86,11,5,80.5
random,0.0,0.0,3,87,11,5,79.9
random,0.0,0.0,3,88,11,5,80.2
random,0.0,0.0,3,89,11,5,75.4
random,0.0,0.0,3,90,11,5,77.8
random,0.0,0.0,3,91,13,5,88.4
random,0.0,0.0,3,92,13,5,91.8
random,0.0,0.0,3,93,13,5,91.8
random,0.0,0.0,3,94,13,5,93.4
random,0.0,0.0,3,95,13,5,94.6
random,0.0,0.0,3,96,12,5,90.0
random,0.0,0.0,3,97,12,5,95.8
